muzzle_loaded_rifle_armament;총구장전식 소총;;;;;;;;;;;;;
muzzle_loaded_rifle_armament_desc;총구장전식 소총은 후미장전식 소총과는 대조적으로 발사체와 추진장약을 총의 앞 끝에 넣어 장전하는 총입니다. 손으로 쥐는 소총은 1740년대에 제대로 발달했습니다. 알 수 있는 형태의 '총구장전총'은 펜실베니아에서 실제로 개발한 캔터키 소총입니다. 캔터키 소총은 독일 '엽총'에서 진화했습니다.;;;;;;;;;;;;;
breech_loaded_rifle_armament;후미장전식 소총;;;;;;;;;;;;;
breech_loaded_rifle_armament_desc;후미장전식 무기는 탄약통이나 포탄을 총열의 후면에 통합된 약실에 끼워 넣거나 장전하는 화기입니다. 최초의 후미장전식 무기는 14세기 후반에 개발됐지만, 19세기에 이르러 정밀 공학과 기계 가공의 향상으로 인해 더욱 성공했습니다.;;;;;;;;;;;;;
bolt_action_rifle_armament;볼트액션식 소총;;;;;;;;;;;;;
bolt_action_rifle_armament_desc;볼트액션(노리쇠장전)은 작은 손잡이로 약실(총렬)을 개폐해 수동으로 무기의 노리쇠를 작동하는 화기 장전 방식입니다. 최최의 볼트액션 소총은 1824년 호미장전식 소총에 대한 연구를 따라하던 요한 니콜라우스 폰 드레세가 발명했습니다. 유럽 각국 군대는 19세기 후반부터 제1차 세계대전 당시까지 볼트액션 소총을 계속해서 개발했고, 모든 제1차 세계대전 참전국은 다양한 볼트액션 설계로 무장한 군대를 보유하고 있습니다.;;;;;;;;;;;;;
machine_gun_armament;기관총;;;;;;;;;;;;;
machine_gun_armament_desc;1861년 리처드 조던 개틀링이 특허를 낸 개틀링 기관총은 최초로 자동 장전을 통해 세심하고 순차적인 화력을 제공합니다. 처음에는 미국 남북전쟁에서 매우 제한적으로 쓰였고, 이후 개선돼 프로이센-프랑스 전쟁과 북서부 메티스 반란에서 쓰였습니다. 19세기 후반에는 타국 군대에도 팔려 20세기 초까지 계속 쓰였습니다. 최초의 완전자동식 기관총은 1885년 하이럼 맥심 경이 발명했습니다. '맥심 기관총'은 손힘이 아닌 이전에 발사한 총알의 반동력을 재장전에 사용함으로써, 노르덴펠트 기관총이나 개틀링 기관총 등 기존 설계보다 훨씬 높은 화력을 가능하게 했습니다.;;;;;;;;;;;;;
cuirassier_activation;흉갑기병;;;;;;;;;;;;;;
cuirassier_activation_desc;흉갑기병은 15세기 후반 유럽에서 처음 등장한 흉갑과 소형화기를 갖춘 기병입니다. 최초의 흉갑기병은 중기병과 반창기병 같은 기병대가 창을 버리고 권총을 주요 무기로 채택한 결과물입니다. 흉갑기병은 나폴레옹 전쟁 기간 동안 더 많은 명성을 얻었고, 제1차 세계대전 초기까지 전장에 참가했습니다. 흉갑기병은 많은 국가에서 의장대로 활약하고 있습니다.;;;;;;;;;;;;;;
dragoon_activation;용기병;;;;;;;;;;;;;;
dragoon_activation_desc;용기병이란 단어는 원래 승마술과 보병 전투기술을 훈련받은 기마보병을 의미했습니다. 그러나 용기병의 쓰임은 시간이 지나며 바뀌어 18세기에는 관습적인 경기병 부대 및 인원으로 진화했습니다. 용기병 연대는 17세기 후반부터 18세기 초반에 대부분의 유럽 군대가 설립했습니다. 용기병은 흉갑기병에 비해 기마부대에 비해 적음에도 나폴레옹 전쟁 동안 일반적으로 기병 역할을 맡았습니다.;;;;;;;;;;;;;
hussar_activation;경기병;;;;;;;;;;;;;;
hussar_activation_desc;후사르는 15세기 헝가리에서 시작된 여러 종류의 경기병을 가리킵니다. 후사르의 칭호와 독특한 복장은 후에 유럽과 타국 군대의 경기병 연대가 널리 채택했습니다. 후사르는 나폴레옹 전쟁에서 기병으로서 중요한 역할을 했습니다. 경비병이 빠른 말에 올라타면, 교전이나 정찰에 활용할 수 있습니다.;;;;;;;;;;;;;
military_aviation;군용항공술;;;;;;;;;;;;;
military_aviation_desc;군용항공술은 전쟁을 수행하거나 수행가능하게 하고자 항공기와 다른 비행기계를 이용하는 행위입니다. 공기보다 무거운 항공기는 일찍부터 군사용으로 적합함을 인정받았습니다. 1909년 미국 육군 통신대가 처음으로 라이트 모델 A를 구입했고, 1911년 이탈리아군은 이탈리아-터키 전쟁의 일환으로 정찰, 사진 재생, 폭격 역할에 다양한 항공기를 사용했습니다. 제1차 세계대전은 군용항공술이 정찰병, 포병 관측병, 전투기, 폭격기와 같은 많은 전문화된 유형을 빠르게 수용하는 광경을 보았습니다.;;;;;;;;;;;;;
SIEGE; 포위;;;;;;;;;;;;;
TRANSFER_SUB_ALL;[SUB_A7]G쉬프트 + 마우스 좌클릭[SUB_A7]W으로 같은 병종을 모두 전속합니다.;;;;;;;;;;;;;
OBSOLETE_UNIT_TECH;[SUB_A7]Y$UNIT$[SUB_A7]W 부대가 [SUB_A7]Y$TECH$[SUB_A7]W의 존재로 인해 구식으로 전락했습니다.;;;;;;;;;;;;;
ARMY_RECON_TOOLTIP;정찰 효율: [SUB_A7]Y$VAL$[SUB_A7]W%;;;;;;;;;;;;;
ARMY_RECON_DELAYED_TOOLTIP;정찰 효율은 적군의 참호 방어력을 줄이고 포위를 가속화하는 정찰대의 능력입니다.\n\n해당 부대는 정찰여단을 필요량([SUB_A7]Y$RECONMAXUNITS$[SUB_A7]W개 여단) 중 [SUB_A7]Y$RECONUNITS$[SUB_A7]W개 여단을 보유하고 있으며, 제공하는 정찰효율은 [SUB_A7]Y$VAL$[SUB_A7]W입니다.;;;;;;;;;;;;;
ARMY_ENGINEER_TOOLTIP;포위 효율: [SUB_A7]Y$VAL$[SUB_A7]W%;;;;;;;;;;;;;
ARMY_ENGINEER_DELAYED_TOOLTIP;포위 효율은 공격 및 포위 시 적 요새의 효율을 감소시키는 공병대와 전차대의 능력입니다.\n\n해당 부대는 공병여단 및 기갑여단을 필요량([SUB_A7]Y$ENGINEERMAXUNITS$[SUB_A7]W개 여단) 중 [SUB_A7]Y$ENGINEERUNITS$[SUB_A7]W개 여단을 보유하고 있어 포위효율을 [SUB_A7]Y$VAL$[SUB_A7]W 제공합니다.;;;;;;;;;;;;;
TENSION_DECAY;기본 감소: [SUB_A7]Y$VAL$[SUB_A7]W;;;;;;;;;;;;;
TENSION_FROM_GP_WARS;강대국 교전국: [SUB_A7]Y$VAL$[SUB_A7]W;;;;;;;;;;;;;
TENSION_FROM_GP_DISARMED;강대국 군비제한: [SUB_A7]Y$VAL$[SUB_A7]W;;;;;;;;;;;;;
TENSION_FROM_GP_RANK;강대국 순위: [SUB_A7]Y$VAL$[SUB_A7]W;;;;;;;;;;;;;
HAS_NOT_CULTURAL_SPHERE; ≠ 영향권 내에 문화가 같은 국가가 존재;;;;;;;;;;;;;
HAS_CULTURAL_SPHERE; = 영향권 내에 문화가 같은 국가가 존재;;;;;;;;;;;;;
UCA;중앙아메리카;;;;;;;;;;;;;
LOAD_SAVEGAME_FAIL;저장한 게임을 불러오지 못했습니다.;;;;;;;;;;;;;
NEWS_TOOLTIP_UNREAD;읽지 않은 신문이 총 [SUB_A7]G$MAX$[SUB_A7]W부 중에서 [SUB_A7]G$NUM$[SUB_A7]W부 있습니다.;;;;;;;;;;;;;
NEWS_TOOLTIP_NO_NEW;읽지 않은 신문이 없습니다.;;;;;;;;;;;;;
become_independent_desc;무력을 통해 종주국에게 독립을 선언합니다.;;;;;;;;;;;;;
CRISIS_DAYS_UNTIL_WAR;[SUB_A7]Y$DAYS$[SUB_A7]W일 안에 외교적 중재안을 찾지 못하면 전쟁이 발발합니다.;;;;;;;;;;;;;
REMOVEFROMSPHERE_COST_NO_INFAMY;위신이 [SUB_A7]R$PRESTIGE$[SUB_A7]W 감소합니다.;;;;;;;;;;;;;
REMOVEFROMSPHERE_COST;위신이 [SUB_A7]R$PRESTIGE$[SUB_A7]W 감소하며 악명이 [SUB_A7]R$INFAMY$[SUB_A7]W 증가합니다.;;;;;;;;;;;;;
REMOVEFROMSPHERE_DESC;해당 국가를 [SUB_A7]Y강대국[SUB_A7]W의 영향권에서 이탈시킵니다.;;;;;;;;;;;;;
CRISIS_INTEREST;이익: [SUB_A7]Y$VAL$[SUB_A7]W;;;;;;;;;;;;;
CRISIS_MAKE_OFFER_INVALID;무언가를 제안해야 합니다!;;;;;;;;;;;;;
CRISIS_MAKE_OFFER_NOT_LEADER;무언가를 제안하려면 위기의 주도국이어야 합니다.;;;;;;;;;;;;;
CRISIS_MAKE_OFFER;[SUB_A7]Y$COUNTRY$[SUB_A7]W에게 우리 세력 후원을 제안합니다.;;;;;;;;;;;;;
CRISIS_AI_WANTS_TO_BACK_1;후원국을 결정하지 않았습니다.;;;;;;;;;;;;;
CRISIS_AI_WANTS_TO_BACK_2;후원 쪽으로 기울고 있습니다.:;;;;;;;;;;;;;
CRISIS_AI_WANTS_TO_BACK_3;후원 쪽으로 강하게 기울고 있습니다.:;;;;;;;;;;;;;
CRISIS_AI_INTEREST;후원에 대한 관심:;;;;;;;;;;;;;
unification_release_puppet_cb_setup;$RECIPIENT$이 점유한 $THIRD$을 해방하고 영향권에 편입합니다.;;;;;;;;;;;;;
unification_release_puppet_cb_desc;외세의 통제를 받는 동포를 해방하고 영향권에 편입합니다.;;;;;;;;;;;;;
unification_release_puppet_cb;동포 해방;;;;;;;;;;;;;
unification_release_puppet_cb_short;$THIRD$ 해방;;;;;;;;;;;;;
AIREASON_STRATEGIC_INTERESTS;전략적 이익;;;;;;;;;;;;;
AIREASON_BACKED_BY_ALLY;동맹국의 후원;;;;;;;;;;;;;
AIREASON_ALLY;동맹국;;;;;;;;;;;;;
AIREASON_TOO_EARLY_IN_CRISIS;위기 초기;;;;;;;;;;;;;
AIREASON_CRISIS_OFFER;$WARGOAL$:;;;;;;;;;;;;;
AIREASON_ATTACKING_ALLY;동맹국 공격 중;;;;;;;;;;;;;
AIREASON_ATTACKING_FRIENDS;우방국 공격 중;;;;;;;;;;;;;
AIREASON_ATTACKING_ENEMIES;적국 공격 중;;;;;;;;;;;;;
AIREASON_COMMON_FOE;공공의 적;;;;;;;;;;;;;
AIREASON_WAR_WITH_SPHERE_LEADER;영향권 맹주와 교전;;;;;;;;;;;;;
AIREASON_CONSTRUCTING_CB;전략적 이익;;;;;;;;;;;;;
AIREASON_HELD_CORES;영유권 보유 지역 소유;;;;;;;;;;;;;
AIREASON_NEGATIVE_RELATIONS;부정적 관계;;;;;;;;;;;;;
AIREASON_THREATS;위협;;;;;;;;;;;;;
AIREASON_TOO_MANY_GP_ALLIES;너무 많은 강대국 동맹국;;;;;;;;;;;;;
AIREASON_DESIRES_GP_ALLY;강대국 동맹국 염원;;;;;;;;;;;;;
AIREASON_ALLY_OF_ALLY;동맹국의 동맹국;;;;;;;;;;;;;
AIREASON_TOO_MANY_ALLIANCES;너무 많은 동맹국;;;;;;;;;;;;;
AIREASON_RELATIVE_ARMY_STRENGTH;육군력;;;;;;;;;;;;;
AIREASON_RELATIVE_NAVY_STRENGTH;해군력;;;;;;;;;;;;;
AIREASON_CURRENT_WARS;현재 전쟁;;;;;;;;;;;;;
AIREASON_OUR_CASUS_BELLI;우리 세력의 전쟁명분;;;;;;;;;;;;;
AIREASON_YOUR_CASUS_BELLI;우리나라의 전쟁명분;;;;;;;;;;;;;
AIREASON_CIV_VS_UNCIV;문명 대 비문명;;;;;;;;;;;;;
AIREASON_DIPLOMATIC_GOALS;정치적 고려;;;;;;;;;;;;;
AIREASON_DISTANCE;거리;;;;;;;;;;;;;
AIREASON_DIFFERENT_GOVTYPES;통치체제;;;;;;;;;;;;;
AIREASON_OUR_SPHERE;우리 영향권;;;;;;;;;;;;;
AIREASON_OTHER_SPHERE_LEADER;다른 영향권 맹주;;;;;;;;;;;;;
AIREASON_OTHER_SPHERE;다른 영향권;;;;;;;;;;;;;
AIREASON_OVERLORD;종주국;;;;;;;;;;;;;
AIREASON_BADBOY;악명;;;;;;;;;;;;;
AIREASON_RELATIONS;관계;;;;;;;;;;;;;
AIREASON_GP_RELATIONS;발언력;;;;;;;;;;;;;
AIREASON_BASE_RELUCTANCE;기본 저항;;;;;;;;;;;;;
AI_DIPLOMATIC_VALUE;외교적 가치;;;;;;;;;;;;;
AI_DIPLO_NO;수락하지 않을 것입니다.;;;;;;;;;;;;;
AI_DIPLO_YES;수락할 것입니다.;;;;;;;;;;;;;
SHIP_BUILD_MIN_BASE_LEVEL_WARNING;[SUB_A7]R해당 군항에서는 편제할 수 없습니다. [SUB_A7]Y$LVL$[SUB_A7]R단계 이상이어야 합니다.[SUB_A7]W;;;;;;;;;;;;;
NAVAL_BASE_OVERSEAS_LIMIT;[SUB_A7]R주력함은 해외 지역에서 건조할 수 없습니다.[SUB_A7]W;;;;;;;;;;;;;
NAVAL_COMBAT_DAMAGE_DESC_TITLE;예상 화력은 [SUB_A7]G$POWER$[SUB_A7]W입니다.:;;;;;;;;;;;;;
NAVAL_COMBAT_DAMAGE_DESC_BASE;[SUB_A7]Y$UNIT$[SUB_A7]W 기본 공격력: [SUB_A7]G$VAL$[SUB_A7]W;;;;;;;;;;;;;
NAVAL_COMBAT_DAMAGE_DESC_TORP;뇌격력: [SUB_A7]G$VAL$[SUB_A7]W;;;;;;;;;;;;;
NAVAL_COMBAT_DAMAGE_DESC_LUCK;행운과 결단력: [SUB_A7]Y$VAL$%[SUB_A7]W;;;;;;;;;;;;;
NAVAL_COMBAT_DAMAGE_DESC_HULL;적군 선체([SUB_A7]R$HULL$[SUB_A7]W)로 인한 감소량: [SUB_A7]R$VAL$%[SUB_A7]W;;;;;;;;;;;;;
NAVAL_COMBAT_DAMAGE_DESC_EXP;적군 숙련도([SUB_A7]R$EXP$%[SUB_A7]W)로 인한 감소량: [SUB_A7]R$VAL$%[SUB_A7]W;;;;;;;;;;;;;
NAVAL_COMBAT_DAMAGE_DESC_NOORG;적군 조직력 고갈: [SUB_A7]Y$VAL$%[SUB_A7]W;;;;;;;;;;;;;
NAVAL_COMBAT_DAMAGE_DESC_STR;아군 내구도로 인한 감소량: [SUB_A7]Y$VAL$%[SUB_A7]W;;;;;;;;;;;;;
NAVAL_COMBAT_HIT_CHANCE_DESC;명중률: [SUB_A7]Y$VAL$%[SUB_A7]W;;;;;;;;;;;;;
NAVAL_COMBAT_HIT_CHANCE_DESC_EVA;(적군의 회피로 인해 [SUB_A7]R$VAL$%[SUB_A7]W 감소);;;;;;;;;;;;;
MOBILIZATION_PROGRESS_PAUSED;[SUB_A7]Y$PROV$[SUB_A7]W에서의 징집병 동원을 곧 시작합니다.;;;;;;;;;;;;;
MOBILIZATION_PROGRESS_PENDING;현재 동원율은 [SUB_A7]Y$PROG$%[SUB_A7]W입니다.;;;;;;;;;;;;;
MOBILIZATION_PROGRESS_NOT_MOBILIZED;동원에 다소 시간이 걸리겠지만, 개선된 철도망이 동원 속도를 가속화합니다.;;;;;;;;;;;;;
COLONY_ADD_INFLUENCE;식민지 영향력 투사;;;;;;;;;;;;;
EVTNAME20100;$STATE$에서의 긴장;;;;;;;;;;;;;;
EVTDESC20100;최근 국제사회에서 $STATE$의 가난하고 억압받는 이들의 이른바 '역경'에 대한 인식이 퍼지고 있습니다. 현지 주민들은 우리나라가 오랫동안 자신들을 억압해왔으며, 우리나라의 통치로부터 자유를 갈망한다고 주장했습니다. 물론 우리는 $STATE$ 통치에 간섭하지 않습니다.;;;;;;;;;;;;;
EVTOPTA20100;물론 어림도 없다!;;;;;;;;;;;;;;
EVTOPTB20100;이 문제에 대해 이야기해봐야 할 것 같은데...;;;;;;;;;;;;;;
EVTNAME20101;$STATE$에서의 긴장;;;;;;;;;;;;;;
EVTDESC20101;최근 국제사회에서 $STATE$의 가난하고 억압받는 이들의 이른바 '역경'에 대한 인식이 퍼지고 있습니다. 이 이야기는 우리나라가 $STATE$ 지방을 통치할 합법적인 권리가 없다고 주장하며, 이윽고 인근 강대국들이 이 주장에 관심을 가지기 시작했습니다.;;;;;;;;;;;;;
EVTOPTA20101;$STATE$ 지방이 우리 당임을 주장한다!;;;;;;;;;;;;;;
EVTOPTB20101;그들의 입장을 이해한다.;;;;;;;;;;;;;;
EVTNAME20102;$CRISISAREA$ 위기;;;;;;;;;;;;;;
EVTDESC20102;;$CRISISAREA$ 지방에 대한 분쟁이 이제 국제위기로 확대됐습니다. $CRISISTAKER$ 측은 $CRISISAREA$ 지방이 국토의 필수적인 일부라고 주장하는 반면, $CRISISTARGET$ 측은 $CRISISTAKER$ 측의 모든 주장을 부인하며 $CRISISAREA$ 지방이이 $CRISISTARGET$ 측의 통제 하에 있어야 한다고 주장합니다. 최근 위기에 관한 회담에서 우리나라 대사가 모든 참석자의 분노를 크게 고조하는 다소 호전적인 발언을 여러 차례 꺼냈습니다.\n대사의 입장을 지지해야 할까요, 아니면 그 행동에 대해 사과하고 대사의 발언을 부정해야 할까요?;;;;;;;;;;;;
EVTOPTA20102;대사의 말이 옳다, 오직 전쟁만이 해결책이다!;;;;;;;;;;;;;;
EVTOPTB20102;대사의 말을 듣지 마라!;;;;;;;;;;;;;;
EVTNAME20103;$CRISISTAKER$의 운명;;;;;;;;;;;;;;
EVTDESC20103;최근 $CRISISTAKER$계 주민의 운명이 국제위기로 치달았습니다. 현재 $CRISISTARGET$ 측이 $CRISISAREA$ 지방을 장악하고 있지만, $CRISISTAKER$계 반군과 애국주의자들은 $CRISISTARGET$의 통치에서 벗어나고자 많은 노력을 기울이고 있습니다. 우리나라도 물론 강대국으로서 $CRISISTAKER$계 주민의 운명을 논의하고자 대사를 파견했지만, 불행하게도 대사는 평소보다 더 취해서 정상회담에 나타나 모든 참가자에게 우리나라의 지도를 따르지 않는다면 다른 모든 참가자들을 호되게 꾸짖음으로써 이 문제를 잘 해결하겠다고 선언했습니다. 대사의 행동은 자연스럽게 상황을 더 악화시켰지만, 당혹스럽더라도 비록 대사의 행동을 부정함으로써 여전히 물러설 수는 있습니다.;;;;;;;;;;;;;
EVTOPTA20103;칼을 뽑아라!;;;;;;;;;;;;;;
EVTOPTB20103;그 멍청한 놈을 해고해!;;;;;;;;;;;;;;
EVTNAME20104;$CRISISAREA$ 위기;;;;;;;;;;;;;;
EVTDESC20104;$CRISISAREA$ 지방에 대한 갈등이 국제위기로 확대됐습니다. 강대국들이 위기에 대해 한쪽 편을 후원하는 상황에서, 영유권 주장을 강하게 압박해야 할까요, 아니면 상황을 진정하고자 노력해야 할까요?;;;;;;;;;;;;;
EVTOPTA20104;그 땅은 우리 땅이다!;;;;;;;;;;;;;;
EVTOPTB20104;협상의 여지는 있다.;;;;;;;;;;;;;;
EVTNAME20105;$CRISISAREA$ 위기;;;;;;;;;;;;;;
EVTDESC20105;$CRISISTAKER$계 반군이 우리나라에게서 벗어나고자 안간힘을 쓰고 $CRISISATTACKER$ 측이 그들을 지지하는 가운데, CRISISDEFENDER$ 측의 무력이 우리의 대의를 지지할 수 있기를 바라야 합니다. $CRISISDEFENDER$ 주재 대사를 통해 $CRISISDEFENDER$ 측에게 사건에 관해서 강력하게 압박해 달라고 요청해야 할까요, 아니면 협상의 여지가 있음을 암시해야 할까요?;;;;;;;;;;;;;
EVTOPTA20105;밀어붙여!;;;;;;;;;;;;;;
EVTOPTB20105;이런 일로 싸우지 말자.;;;;;;;;;;;;;;
COLONIZE_PHASE_INTEREST;관심사 설정;;;;;;;;;;;;;
COLONIZE_PHASE_INTEREST_DESC;식민력을 이용한 투자를 통해 경쟁합니다. $LEVELS$단계를 먼저 달성한 두 국가가 다음 경쟁 단계로 넘어갑니다.;;;;;;;;;;;;;
COLONIZE_PHASE_INFLUENCE;식민지 경쟁;;;;;;;;;;;;;
COLONIZE_PHASE_INFLUENCE_DESC;두 국가가 식민력을 갖고 어느 한쪽이 영향력을 행사하지 못할 때까지 싸웁니다. 투자할 때마다 주의 긴장이 고조되며, 긴장이 너무 높지면 위기로 변합니다.;;;;;;;;;;;;;
COLONIZE_PHASE_COLONIZATION;식민화;;;;;;;;;;;;;
COLONIZE_PHASE_COLONIZATION_DESC;이전 단계의 승자가 $MONTHS$개월 안에 식민지를 설립하지 않으면 모든 투자가 사라집니다.;;;;;;;;;;;;;
TICKING_WARSCORE_DESC_GRACE;필요 전쟁점수: $VAL$ ([SUB_A7]Y$DAY$[SUB_A7]W일 남음);;;;;;;;;;;;;
TICKING_WARSCORE_DESC_GRACE_EXPLAIN;영토 전쟁목표를 [SUB_A7]G$MIN$%[SUB_A7]W 이상 충족하면 청구국의 전쟁점수를 점차적으로 높입니다.\n[SUB_A7]Y$DAYS$일[SUB_A7]W의 유예기간 안에 전쟁목표를 달성하지 못하면, 반대로 피청구국의 전쟁점수를 높입니다. 전쟁목표를 청구국이 점령했다가 피청구국이 탈환하면 전쟁점수가 점차적으로 [SUB_A7]Y0[SUB_A7]W으로 되돌아갑니다.;;;;;;;;;;;;;
TICKING_WARSCORE_FULFILL_TERRITORY_WG;[SUB_A7]G전쟁목표로 지정된 주에 속하는 지역을 $MIN$% 이상 점령하면 충족합니다.[SUB_A7]W;;;;;;;;;;;;;
TICKING_WARSCORE_FULFILL_TERRITORY_ANY;[SUB_A7]G피청구국 영토를 $MIN$% 이상 점령하면 충족합니다.[SUB_A7]W;;;;;;;;;;;;;
TICKING_WARSCORE_FULFILL_BATTLE;[SUB_A7]G$BAT$[SUB_A7]W번 이상의 전투에서 얻은 전쟁점수가 더 높으면 충족합니다.[SUB_A7]W;;;;;;;;;;;;;
CREATE_PROTECTORATE;보호령 설립;;;;;;;;;;;;;
JAN;얀마옌;;;;;;;;;;;;;
JAN_ADJ;얀마옌령;;;;;;;;;;;;;
JAN_liberal;자유당;;;;;;;;;;;;;
JAN_conservative;보수당;;;;;;;;;;;;;
JAN_socialist;사회당;;;;;;;;;;;;;
JAN_anarcho_liberal;급진당;;;;;;;;;;;;;;
JAN_communist;공산당;;;;;;;;;;;;;;
JAN_fascist;국가결집당;;;;;;;;;;;;;;
COUNTRYALERT_NO_Colonial;Nothing in our colonies needs attention.;;Nichts in unseren Kolonien bedarf unserer Aufmerksamkeit.;;;;;;;;x;;;,,,,,,,,,,,,,,,
COUNTRYALERT_NO_Crisis;No current crisis.;;Kein aktueller Konflikt.;;;;;;;;x;;;,,,,,,,,,,,,,,,
COUNTRYALERT_Crisis;Current crisis is at a temperature of §Y$TEMPERATURE$§!;;Aktuelle Konflikttemperatur: §Y$TEMPERATURE$§!;;;;;;;;x;;;,,,,,,,,,,,,,,,
HAS_GOODS_IN_STATE;Producing $GOODS$ in state.;;Produziert $GOODS$ im Staat.;;;;;;;;x;;;,,,,,,,,,,,,,,,
HAS_NO_GOODS_IN_STATE;Is not producing $GOODS$ in state.;;Produziert kein(e) $GOODS$ im Staat.;;;;;;;;x;;;,,,,,,,,,,,,,,,
MILITARY_MOBILIZE_CRISIS_IMPACT;§R§!;;§RWährend man sich auf einer Seite in einem Konflikt befindet, wird die Mobilisierung die Temperatur erhöhen und zum Krieg führen!§!;;;;;;;;x;;;,,,,,,,,,,,,,,
NORMAL_WAR_LIBERATE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Freedom;$ORDER$$FIRST$ guerre de libération $COUNTRY_ADJ$;$ORDER$$FIRST$-$COUNTRY_ADJ$er Freiheitskrieg;;$ORDER$ Guerra $FIRST$ de liberación $COUNTRY_ADJ$;;;;;;;;;x,,,,,,,,,,,,,,,
AGRESSION_WAR_LIBERATE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Liberation;;$ORDER$$FIRST$-$COUNTRY_ADJ$er Befreiungskrieg;;;;;;;;x;;;,,,,,,,,,,,,,,,
CANT_COLONIZE;§RUnable to colonize:§!;;§RKolonisierung nicht möglich:§!;;;;;;;;x;;;,,,,,,,,,,,,,,,
COLONIZE_LAST_INVESTMENT;We have just invested in this area. Next investment can be done after §Y$DATE$§!;;Wir haben gerade erst in diese Gegend investiert. Nächste Investition möglich nach §Y$DATE$§! ;;;;;;;;x;;;,,,,,,,,,,,,,,,
COLONY_INVEST_COST;Cost of investment: §Y$COST$§! Colonial Power;;Investitionskosten: §Y$COST$§! Kolonialmacht;;;;;;;;x;;;,,,,,,,,,,,,,,,
COLONY_INVEST_COST_LACK;Cost of investment: §R$COST$§! Colonial Power;;Investitionskosten: §R$COST$§! Kolonialmacht;;;;;;;;x;;;,,,,,,,,,,,,,,,
COLONIAL_INVESTMENT;Currently invested: §R$VALUE$§!;;Aktuell investiert: §R$VALUE$§!;;;;;;;;x;;;,,,,,,,,,,,,,,,
COLONIAL_MAINTENANCE;Power tied up in maintenance: §R$VALUE$§!;;Durch Versorgung gebundene Kolonialmacht: §R$VALUE$§!;;;;;;;;x;;;,,,,,,,,,,,,,,,
AVAILABLE_COLONIAL_POWER;Available: §Y$VALUE$§!;;Verfügbar: §Y$VALUE$§!;;;;;;;;x;;;,,,,,,,,,,,,,,,
PW_PROTECTORATE;Protectorate;;Protektorat;;;;;;;;x;;;,,,,,,,,,,,,,,,
COUNTRYALERT_NO_Colonial;식민지가 주의를 필요로 하지 않습니다.;;;;;;;;;;;;;
COUNTRYALERT_NO_Crisis;현재 위기가 없습니다.;;;;;;;;;;;;;
COUNTRYALERT_Crisis;현재 위기 심각도: [SUB_A7]Y$TEMPERATURE$[SUB_A7]W;;;;;;;;;;;;;
HAS_GOODS_IN_STATE; = 주에 $GOODS$ 생산지 존재;;;;;;;;;;;;;
HAS_NO_GOODS_IN_STATE; ≠ 주에 $GOODS$ 생산지 존재;;;;;;;;;;;;;
MILITARY_MOBILIZE_CRISIS_IMPACT;[SUB_A7]R위기에서 한 세력을 후원하면서 동원령을 선포하면 위기 심각도가 증가하고 전쟁을 이어집니다!![SUB_A7]W;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME;$ORDER$$COUNTRY$ 해방 전쟁;;;;;;;;;;;;;;
